iter,loss,base_markup,budget_markup,demand_markup,cancel_base,provider_weekly_capacity,provider_daily_screen_cap,accept_threshold,idiosyncratic_noise_sd,value_scale_easy,value_scale_hard,easy_match_rate,easy_cancel_rate,easy_avg_price,easy_messages_per_job,easy_provider_inbox_per_day,easy_consumer_surplus_per_job,easy_provider_profit_per_job,hard_match_rate,hard_cancel_rate,hard_avg_price,hard_messages_per_job,hard_provider_inbox_per_day,hard_consumer_surplus_per_job,hard_provider_profit_per_job
46,18.406375,0.1509,0.0253,0.1492,0.0336,5,10,0.2409,0.0701,871.88,1475.86,0.4,0.0501,191.0303,11.0222,2.0873,41.4973,10.7275,0.2133,0.0782,317.0119,12.3556,2.0873,36.8994,10.1992
47,25.049091,0.1913,0.066,0.2885,0.0463,8,6,0.2452,0.0743,703.37,1318.53,0.34,0.0413,203.4038,11.6889,2.1544,13.056,12.5389,0.2067,0.0806,338.7666,12.44,2.1544,21.7891,15.0124
48,98.024221,0.3327,0.1192,0.1904,0.0839,7,11,0.273,0.0808,824.65,1200.1,0.1911,0.1269,203.6192,12.5956,2.2677,18.2167,11.5279,0.1556,0.1222,378.2961,12.8022,2.2677,7.841,18.3597
49,88.067039,0.2367,0.1596,0.1508,0.0562,7,10,0.2764,0.0694,863.63,1136.57,0.1933,0.0718,204.0067,12.5422,2.2871,20.8102,9.5583,0.1244,0.1111,339.3994,13.0733,2.2871,5.8164,12.9307
50,35.526931,0.2696,0.1734,0.2335,0.0964,7,8,0.2456,0.1117,844.51,1313.9,0.32,0.1071,214.1917,11.6267,2.1175,33.5613,17.9574,0.2333,0.0881,389.8644,12.0889,2.1175,22.8939,27.1871
51,10.859331,0.1634,0.0987,0.2029,0.0913,7,12,0.2412,0.111,825.44,1111.27,0.4111,0.0672,196.4329,10.9867,2.0544,45.0125,13.6131,0.2578,0.066,338.9057,12.0222,2.0544,15.9268,18.1892
52,67.407124,0.2646,0.048,0.1493,0.0726,5,9,0.2804,0.1038,798.77,1143.18,0.2244,0.1014,204.7917,12.4933,2.2476,23.3756,10.3087,0.1667,0.0898,345.1127,12.68,2.2476,14.3899,14.0427
53,39.560522,0.2088,0.0373,0.1482,0.0586,7,10,0.2538,0.0737,867.26,1136.66,0.3022,0.0754,196.1808,11.8311,2.1873,33.4262,11.0799,0.18,0.0759,335.4556,12.6667,2.1873,9.4731,12.0474
54,198.309082,0.1538,0.0184,0.1014,0.0879,6,7,0.285,0.0601,699.47,1472.07,0.1578,0.2107,203.9917,12.9378,2.3379,10.1566,4.1151,0.0956,0.1667,271.4417,13.2467,2.3379,22.2709,4.4342
55,103.796514,0.2904,0.1864,0.1765,0.0894,5,12,0.2633,0.0772,713.72,1513.53,0.2333,0.0741,219.4531,12.28,2.2369,11.0652,14.1044,0.1578,0.1898,394.7718,12.7733,2.2369,23.1828,19.8976
56,24.985378,0.2173,0.1663,0.2491,0.0844,7,12,0.2378,0.1041,672.5,1243.19,0.3533,0.0975,205.3914,11.28,2.0817,14.0462,16.5054,0.2511,0.0929,379.4591,12.0356,2.0817,17.7239,25.9477
57,72.943205,0.1789,0.1804,0.2194,0.0853,6,8,0.287,0.1162,655.66,1340.39,0.2422,0.145,207.9874,12.4133,2.2242,13.2189,10.2063,0.1911,0.0343,374.3605,12.4978,2.2242,28.2764,18.7661
58,24.740374,0.2059,0.1685,0.1583,0.077,6,10,0.2442,0.0777,821.87,1355.85,0.34,0.0778,204.1439,11.5333,2.1349,28.6333,15.2036,0.2178,0.0672,368.0127,12.3778,2.1349,20.4293,21.8063
59,12.004833,0.1706,0.0485,0.245,0.0633,5,10,0.2207,0.09,828.77,1570.94,0.4711,0.0639,194.068,10.4489,1.9714,40.9097,14.7824,0.3022,0.1102,350.231,11.6311,1.9714,50.6138,19.1665
60,10.22967,0.2224,0.1398,0.1625,0.0585,6,11,0.2203,0.0694,680.52,1436.51,0.4133,0.0746,202.7562,10.9067,2.0302,10.0578,18.5957,0.2867,0.0597,388.5545,11.8311,2.0302,23.528,29.0884
